species,LGM_Topt_mean,PI_Topt_mean,LGM_Topt_sd,PI_Topt_sd,LGM_Topt_min,PI_Topt_min,LGM_Topt_max,PI_Topt_max,Topt_mean_diff
B. digitata,22.480068649584968,23.887109756182383,1.612480578552357,4.32759754071652,18.764820697156733,11.03105354309082,26.35982557593532,29.290630340576172,1.4070411065974149
C. nitida,22.554746351827536,27.400425790339895,1.5419170171210563,0.8339626352285309,18.923770315861503,26.144655227661133,26.35982557593532,29.290630340576172,4.845679438512359
D. anfracta,17.183849240121386,20.679899815558837,4.706812947134285,7.669972375992136,3.246156438336551,-1.7999944686889648,26.190869272793066,29.290630340576172,3.496050575437451
G. adamsi,15.993468481894707,20.679899815558837,4.708452789343522,7.669972375992136,3.246156438336551,-1.7999944686889648,26.190869272793066,29.290630340576172,4.68643133366413
G. bulloides,15.305989607912116,14.414096087281791,3.468940211900075,4.330478475859469,7.901952683757878,5.4203782081604,21.215683551342604,20.209707260131836,-0.8918935206303242
G. calida,23.46980954490706,28.94719749118971,0.8326853285336397,0.17154047210005297,22.521630938450222,28.69611358642578,26.35982557593532,29.290630340576172,5.477387946282647
G. conglobatus,25.39727097139582,26.098965671618487,0.4180567826478555,1.9208933464560243,24.83822408430376,21.210750579833984,26.35982557593532,29.290630340576172,0.7016947002226672
G. conglomerata,25.03211672271293,27.377686334158078,0.5285117882220003,0.8438074936312208,24.198694556389423,26.09349822998047,26.35982557593532,29.290630340576172,2.3455696114451463
G. crassaformis,21.80753181235854,23.402584880831228,2.1913929355574977,2.496645275255308,17.214834789174482,18.534822463989254,26.190869272793066,26.382200241088867,1.5950530684726871
G. cultrata,25.077022528152142,27.3288227984711,0.3972513712518182,0.8201798875766992,24.44845815646786,26.050539016723633,26.190869272793066,29.06206512451172,2.2518002703189595
G. eastropacia,22.769561244360293,NA,1.1031053931203265,NA,19.737921491152303,NA,26.190869272793066,NA,NA
G. falconensis,13.970449654560593,21.95535388587653,0.3130128570034785,3.9214523303326576,13.28722271993189,13.279325485229492,14.396490154603828,26.717788696289062,7.984904231315937
G. glutinata,19.014386746451844,25.394503023149166,4.878110787387228,4.305851391913205,12.236579629358577,9.421527862548828,26.35982557593532,29.290630340576172,6.380116276697322
G. hexagonus,25.03211672271293,27.859572525259647,0.5285117882220003,0.6053593186046962,24.198694556389423,26.924219131469727,26.35982557593532,29.290630340576172,2.827455802546716
G. hirsuta,NA,19.370256702937905,NA,2.398532952656812,NA,14.687806129455566,NA,23.55681037902832,NA
G. inflata,18.05001771614141,16.277531056597052,3.163572790958574,4.717863523021179,9.565031928352084,6.204590320587158,22.17791396554478,23.346206665039062,-1.7724866595443594
G. ruber albus,20.074597849988127,25.43033432770328,3.1405807888618424,2.6417448048935652,14.828700125678834,19.06375503540039,25.278151644016507,29.290630340576172,5.355736477715155
G. ruber ruber,22.724725777394443,26.445942100087308,0.770799102444997,1.2826120514724146,20.554142310593747,23.411787033081055,26.190869272793066,28.506732940673828,3.7212163226928645
G. rubescens,19.99298703956786,NA,1.5494997121262537,NA,17.7932603848812,NA,22.37991780801959,NA,NA
G. scitula,14.132573673732045,NA,1.332932358355794,NA,11.39018192310499,NA,16.76386374885183,NA,NA
G. siphonifera,25.75599698847157,27.297742810637274,0.2729672096068828,0.8827310455461401,25.466991548649737,25.830299377441406,26.35982557593532,29.290630340576172,1.541745822165705
G. tenellus,24.584913551250107,26.072022465786638,0.6746957459416519,1.7922088394973459,23.56588871871938,21.464344024658203,26.35982557593532,28.785221099853516,1.487108914536531
G. truncatulinoides,19.430930001238426,17.803926566739335,3.8108887968281895,4.511278398646171,8.777327221501704,7.867212295532227,24.177211408301936,24.582748413085938,-1.6270034344990911
G. tumida,NA,27.07937393337905,NA,1.006418533792892,NA,25.29437255859375,NA,29.290630340576172,NA
G. uvula,13.76968566292975,20.679899815558837,8.297105410072442,7.669972375992136,-1.813580669724445,-1.7999944686889648,26.35982557593532,29.290630340576172,6.910214152629088
N. dutertrei,22.10474828281966,24.924408258088782,1.445360949079639,1.8326210020112663,18.523291840691495,20.48887634277344,26.35982557593532,27.16515731811523,2.819659975269122
N. incompta,16.042649927719786,13.569975377641327,2.291626580200259,3.372209156069891,12.936517563142978,7.109236717224121,21.557645812353854,18.17152214050293,-2.472674550078459
N. pachyderma,3.032378904904466,4.399856419278616,3.8569054970372676,2.722023882196911,-1.813580669724445,-1.7999944686889648,10.52637077647979,8.59433364868164,1.36747751437415
O. universa,22.86634757059443,17.00414098206387,0.9120287782592338,2.6865979279935495,20.98442417067168,11.35829257965088,24.93734661962755,21.165027618408203,-5.862206588530562
P. obliquiloculata,NA,28.892584676327914,NA,0.1991482663832125,NA,28.57799911499023,NA,29.290630340576172,NA
S. dehiscens,NA,28.002692442319937,NA,0.539344359967606,NA,27.16742706298828,NA,29.290630340576172,NA
T. humilis,NA,18.319242648744805,NA,2.7468962189402752,NA,12.399941444396973,NA,22.942062377929688,NA
T. iota,17.183849240121386,20.679899815558837,4.706812947134285,7.669972375992136,3.246156438336551,-1.7999944686889648,26.190869272793066,29.290630340576172,3.496050575437451
T. quinqueloba,13.177656802197905,6.207929538775094,1.3133804279567143,1.6686853209476737,9.565031928352084,3.040721654891968,15.13856290900382,9.001226425170898,-6.969727263422811
T. sacculifer,23.45519917169437,26.492387717209446,0.8208981742426612,1.468238415731788,22.37991780801959,22.933149337768555,26.190869272793066,29.111217498779297,3.0371885455150753
